Part,Value,Device,Package,Description,MF,MPN,OC_FARNELL,OC_NEWARK,PROD_ID,SF_SKU,VALUE
JP14,JUMPER-SMT_3_NO_SILK,JUMPER-SMT_3_NO_SILK,SMT-JUMPER_3_NO_SILK,Normally open jumper,,,,,,,
JP15,JUMPER-SMT_3_NO_SILK,JUMPER-SMT_3_NO_SILK,SMT-JUMPER_3_NO_SILK,Normally open jumper,,,,,,,
JP16,JUMPER-SMT_3_NO_SILK,JUMPER-SMT_3_NO_SILK,SMT-JUMPER_3_NO_SILK,Normally open jumper,,,,,,,
JP17,JUMPER-SMT_3_NO_SILK,JUMPER-SMT_3_NO_SILK,SMT-JUMPER_3_NO_SILK,Normally open jumper,,,,,,,
JP18,JUMPER-SMT_3_NO_SILK,JUMPER-SMT_3_NO_SILK,SMT-JUMPER_3_NO_SILK,Normally open jumper,,,,,,,
JP19,JUMPER-SMT_3_NO_SILK,JUMPER-SMT_3_NO_SILK,SMT-JUMPER_3_NO_SILK,Normally open jumper,,,,,,,
JP2,IN2_SEL,JUMPER-SMT_3_NO_SILK,SMT-JUMPER_3_NO_SILK,Normally open jumper,,,,,,,
JP20,JUMPER-SMT_3_NO_SILK,JUMPER-SMT_3_NO_SILK,SMT-JUMPER_3_NO_SILK,Normally open jumper,,,,,,,
JP21,JUMPER-SMT_3_NO_SILK,JUMPER-SMT_3_NO_SILK,SMT-JUMPER_3_NO_SILK,Normally open jumper,,,,,,,
JP22,SPI_CS_SEL,JUMPER-SMT_3_NO_SILK,SMT-JUMPER_3_NO_SILK,Normally open jumper,,,,,,,
JP23,TACH_INPUT_SEL,JUMPER-SMT_3_NO_SILK,SMT-JUMPER_3_NO_SILK,Normally open jumper,,,,,,,
JP3,IN3_SEL,JUMPER-SMT_3_NO_SILK,SMT-JUMPER_3_NO_SILK,Normally open jumper,,,,,,,
JP4,IN4_SEL,JUMPER-SMT_3_NO_SILK,SMT-JUMPER_3_NO_SILK,Normally open jumper,,,,,,,
JP5,IN5_SEL,JUMPER-SMT_3_NO_SILK,SMT-JUMPER_3_NO_SILK,Normally open jumper,,,,,,,
JP6,IN6_SEL,JUMPER-SMT_3_NO_SILK,SMT-JUMPER_3_NO_SILK,Normally open jumper,,,,,,,
JP7,IN7_SEL,JUMPER-SMT_3_NO_SILK,SMT-JUMPER_3_NO_SILK,Normally open jumper,,,,,,,
JP8,IN8_SEL,JUMPER-SMT_3_NO_SILK,SMT-JUMPER_3_NO_SILK,Normally open jumper,,,,,,,
JP9,IN9_SEL,JUMPER-SMT_3_NO_SILK,SMT-JUMPER_3_NO_SILK,Normally open jumper,,,,,,,
OK1,ILQ1X009,ILQ1X009,SMD16,SIEMENS OPTO COUPLER,,,,,,,
OK2,ILQ1X009,ILQ1X009,SMD16,SIEMENS OPTO COUPLER,,,,,,,
OK3,ILQ1X009,ILQ1X009,SMD16,SIEMENS OPTO COUPLER,,,,,,,
R1,100R,RC0603JR-07100RL,603,,,,,,,,100R
R10,1k,RC0603JR-071KL,603,,,,,,,,1k
R11,1k,RC0603JR-071KL,603,,,,,,,,1k
R12,1k,RC0603JR-071KL,603,,,,,,,,1k
R13,620k,RC0603JR-07620KL,603,,,,,,,,620k
R14,620k,RC0603JR-07620KL,603,,,,,,,,620k
R15,620k,RC0603JR-07620KL,603,,,,,,,,620k
R16,620k,RC0603JR-07620KL,603,,,,,,,,620k
R17,470R,RC0603JR-07470RL,603,,,,,,,,470R
R18,470R,RC0603JR-07470RL,603,,,,,,,,470R
R19,470R,RC0603JR-07470RL,603,,,,,,,,470R
R2,330k,RC0603JR-07330KL,603,,,,,,,,330k
R20,470R,RC0603JR-07470RL,603,,,,,,,,470R
R21,470R,RC0603JR-07470RL,603,,,,,,,,470R
R22,470R,RC0603JR-07470RL,603,,,,,,,,470R
R23,470R,RC0603JR-07470RL,603,,,,,,,,470R
R24,470R,RC0603JR-07470RL,603,,,,,,,,470R
R25,470R,RC0603JR-07470RL,603,,,,,,,,470R
R26,470R,RC0603JR-07470RL,603,,,,,,,,470R
R27,470R,RC0603JR-07470RL,603,,,,,,,,470R
R28,470R,RC0603JR-07470RL,603,,,,,,,,470R
R29,470R,RC0603JR-07470RL,603,,,,,,,,470R
R3,330k,RC0603JR-07330KL,603,,,,,,,,330k
R30,470R,RC0603JR-07470RL,603,,,,,,,,470R
R31,470R,RC0603JR-07470RL,603,,,,,,,,470R
R32,470R,RC0603JR-07470RL,603,,,,,,,,470R
R33,470R,RC0603JR-07470RL,603,,,,,,,,470R
R34,470R,RC0603JR-07470RL,603,,,,,,,,470R
R35,470R,RC0603JR-07470RL,603,,,,,,,,470R
R36,470R,RC0603JR-07470RL,603,,,,,,,,470R
R37,470R,RC0603JR-07470RL,603,,,,,,,,470R
R38,470R,RC0603JR-07470RL,603,,,,,,,,470R
R39,470R,RC0603JR-07470RL,603,,,,,,,,470R
R4,100R,RC0603JR-07100RL,603,,,,,,,,100R
R40,470R,RC0603JR-07470RL,603,,,,,,,,470R
R41,470R,RC0603JR-07470RL,603,,,,,,,,470R
R42,470R,RC0603JR-07470RL,603,,,,,,,,470R
R43,470R,RC0603JR-07470RL,603,,,,,,,,470R
R44,470R,RC0603JR-07470RL,603,,,,,,,,470R
R45,470R,RC0603JR-07470RL,603,,,,,,,,470R
R46,470R,RC0603JR-07470RL,603,,,,,,,,470R
R47,470R,RC0603JR-07470RL,603,,,,,,,,470R
R48,470R,RC0603JR-07470RL,603,,,,,,,,470R
R49,470R,RC0603JR-07470RL,603,,,,,,,,470R
R5,330k,RC0603JR-07330KL,603,,,,,,,,330k
R50,470R,RC0603JR-07470RL,603,,,,,,,,470R
R51,470R,RC0603JR-07470RL,603,,,,,,,,470R
R52,470R,RC0603JR-07470RL,603,,,,,,,,470R
R53,1M,RC0603JR-071ML,603,,,,,,,,1M
R54,1M,RC0603JR-071ML,603,,,,,,,,1M
R55,10R,RC0603JR-1310RL,603,,,,,,,,10R
R56,100k,RC0603JR-07100KL,603,,,,,,,,100k
R57,100R,RC0603JR-07100RL,603,,,,,,,,100R
R58,100R,RC0603JR-07100RL,603,,,,,,,,100R
R59,1M,RC0603JR-071ML,603,,,,,,,,1M
R6,100R,RC0603JR-07100RL,603,,,,,,,,100R
R60,1M,RC0603JR-071ML,603,,,,,,,,1M
R61,10R,RC0603JR-1310RL,603,,,,,,,,10R
R62,100k,RC0603JR-07100KL,603,,,,,,,,100k
R63,1k,RC0603JR-071KL,603,,,,,,,,1k
R64,330k,RC0603JR-07330KL,603,,,,,,,,330k
R65,100R,RC0603JR-07100RL,603,,,,,,,,100R
R66,620k,RC0603JR-07620KL,603,,,,,,,,620k
R67,1k,RC0603JR-071KL,603,,,,,,,,1k
R68,330k,RC0603JR-07330KL,603,,,,,,,,330k
R69,100R,RC0603JR-07100RL,603,,,,,,,,100R
R7,330k,RC0603JR-07330KL,603,,,,,,,,330k
R70,620k,RC0603JR-07620KL,603,,,,,,,,620k
R71,100k,RC0603JR-07100KL,603,,,,,,,,100k
R72,100k,RC0603JR-07100KL,603,,,,,,,,100k
R73,100k,RC0603JR-07100KL,603,,,,,,,,100k
R74,100k,RC0603JR-07100KL,603,,,,,,,,100k
R75,1k,RC0603JR-071KL,603,,,,,,,,1k
R8,100R,RC0603JR-07100RL,603,,,,,,,,100R
R9,1k,RC0603JR-071KL,603,,,,,,,,1k
S1,RST_SW,MOMENTARY-SWITCH-SPST-SMD-6.0X3.5MM,TACTILE_SWITCH_SMD_6.0X3.5MM,Momentary Switch (Pushbutton) - SPST,,,,,SWCH-14278,COM-08229,
Y1,ECX-.327-6-34RR,ECX-.327-6-34RR,ECX-34RR,,,,,,,,
